,AAPL,MSFT,TSLA
2020-01-01,75.73413384735123,160.16371848228283,27.83661683879991
2020-01-02,75.60634519917137,160.2379259128742,27.863680329037322
2020-01-03,76.55417074528143,162.96707411899206,28.487969179225516
2020-01-06,78.74487072790787,164.23012650246048,29.197228231612954
2020-01-07,78.47643441820476,164.26701601180767,28.49069943030035
2020-01-08,78.20893630328786,166.3942121004862,28.6068884211359
2020-01-09,80.52838626520422,170.00245157360072,29.103322906133666
2020-01-10,81.71385503863401,171.5337452510936,30.66144917007286
2020-01-13,81.09108530780084,171.66335179212302,31.464623997468692
2020-01-14,81.95244283907016,168.41947769220752,32.384530371188866
2020-01-15,81.33672163234675,165.84955022137135,32.51868291456325
2020-01-16,80.72226693694373,165.1910499999785,34.20530856286352
2020-01-17,81.13949066286291,163.78588570207376,34.7410696681889
2020-01-20,78.4554333929338,163.4252060443634,33.75013691874027
2020-01-21,76.11780569590506,163.66230337698897,35.49182623667452
2020-01-22,75.4115947396884,165.06685447517768,36.41311593610377
2020-01-23,74.10848842714587,164.99135668552864,35.895878967576785
2020-01-24,74.58851428892868,166.29953889446742,35.340875600521606
2020-01-27,73.43804297705735,166.56035390994927,35.752506806262126
2020-01-28,71.65196876434894,161.79429285875668,36.38046136975507
2020-01-29,73.62630076542878,159.62633860947966,36.67653158874447
2020-01-30,73.38637824091694,159.37730633755228,37.12285760463797
2020-01-31,73.53443820806966,156.6053530312513,39.445950612352874
2020-02-03,71.72995022250173,158.1158349091136,41.00259700472323
2020-02-04,71.08735601293006,161.8854779872996,41.32665337458879
2020-02-05,71.28643762971448,164.97114618678356,42.76215670378617
2020-02-06,69.88060964245211,164.54250797214482,41.29391636783857
2020-02-07,70.41108961448359,168.36425823179474,41.92333664660945
2020-02-10,69.70968615058237,168.8414059274228,44.717653416084524
2020-02-11,69.40013340524922,168.0906737141828,44.43096997866144
2020-02-12,68.70747988116106,166.65111882297987,43.18397860437812
2020-02-13,71.09372508110879,165.99629569930497,42.26022979082563
2020-02-14,71.13333886985114,165.1316146969412,40.727734324596994
2020-02-17,69.84771214321019,165.65363363136498,39.67188008933788
2020-02-18,70.94629197483258,166.1527712415841,39.207766147439365
2020-02-19,69.45978514066897,166.26008911800278,37.370439249990994
2020-02-20,69.77721325047082,167.45379067966735,37.435769054363845
2020-02-21,67.41270060955581,170.5736436075254,38.68323647918136
2020-02-24,65.8728314812999,173.1244054684247,37.51852736276588
2020-02-25,66.15957255220367,169.41256843409514,39.61507831436755
2020-02-26,67.09852008137837,163.14316957924663,40.37809901555404
